PINGS,OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,Shape_STArea__,Shape_STLength__,ShapeSTArea,ShapeSTLength,PARK_ID,REGION,sum
558,956,Neponset River Reservation I,Commonwealth of Massachusetts,A97/WPA/ACEC,2,Multi-District,183.32, ,Open Space District,"Parkways, Reservations & Beaches",DCR,DCR,X,X, ,DCR,0,0,7985635.001,86742.56883,NA,INFO_Reallocation From Dept,558
557,692,RFK Greenway II,City of Boston, ,1,Central Boston,0.29,171 Summer Street,Special District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,12804.63477,475.6968994,NA,INFO_Reallocation From Dept,557
552,41,Granary Burying Ground,City of Boston,A97/NRHP/PR/BL,4,Back Bay/Beacon Hill,1.86,Opposite 110 Tremont,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, ,,0,0,80878.57568,1160.13387,NA,PARK_Cemetery Maintenance Request,552
552,199,Dudley Town Common,City of Boston,A97,1,Roxbury,0.62004086, ,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,26879.85522,966.1750463,NA,PARK_Maintenance_Region 5,552
535,943,Arnold Arboretum,City of Boston,A97/GPOD/WPA,3,Jamaica Plain,224.26,Opposite 376 Arborway Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,Private,X,X, ,BPRD,0,0,9768623.905,21745.99665,NA,PARK_Maintenance_Region 3,535
526,224,Erie/Ellington Playground,City of Boston,A97,3,Roxbury,0.3743838,Corner of Ellington and Erie,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,16139.21533,584.7439187,NA,PARK_Maintenance_Region 2,526
521,709,Boylston Street I,City of Boston,A97,2,Fenway/Kenmore,0.62,Vicinity of Park Drive and Back Bay Fens,Residential District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,Back Bay Fens/Charlesgate,,0,0,26869.37598,3493.544971,NA,INFO_Reallocation From Dept,521
521,750,Meany Park,Commonwealth of Massachusetts,A97,3,Dorchester,0.22341152, ,Residential District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, ,,0,0,10147.88159,410.3422838,NA,INFO_Reallocation From Dept,521
512,77,Paul Revere Park,Commonwealth of Massachusetts,A97,2,Charlestown,6.40013027, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,278794.6121,2132.106147,NA,INFO_Reallocation From Dept,512
512,78,Charlestown HS Athletic Fields,City of Boston,Ch91/WPA,3,Charlestown,10.42,Opposite 240 Medford St,Open Space District,"Parks, Playgrounds & Athletic Fields",NULL,BPRD,N,X,Little Mystic Harborwalk,,0,0,453734.6108,5785.193681,NA,PARK_Maintenance_Region 1,512
507,627,Tent City Courtyards,BRA, ,1,South End,0.53, ,Residential District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,22947.125,1079.089106,NA,INFO_Reallocation From Dept,507
487,154,Mission Hill Playground,City of Boston,A97,3,Jamaica Plain,2.68681793,60 Smith Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Sheehy-Smith Playground,,0,0,117039.8704,1538.126335,NA,PARK_Maintenance_Region 3,487
485,632,Brooke Courthouse Plaza,Commonwealth of Massachusetts, ,1,Central Boston,0.24,24 New Chardon Street,Special District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,10653.06519,528.4905473,NA,INFO_Reallocation From Dept,485
483,565,Atlantic Avenue Plantings,MBTA, ,1,Central Boston,0.58, ,Special District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,25390.76514,2200.596123,NA,INFO_Reallocation From Dept,483
475,476,Harbor Point Boulevard,Private, ,1,Dorchester,2.30972838, ,Residential District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,100613.5571,2468.367943,NA,INFO_Reallocation From Dept,475
473,75,City Square,Commonwealth of Massachusetts,A97/LL,1,Charlestown,1.21, ,Open Space District,"Malls, Squares & Plazas",DCR, ,X,X, ,,0,0,52650.46021,912.8265706,NA,INFO_Reallocation From Dept,473
464,525,South Bank Park,Commonwealth of Massachusetts,A97/CAT Mit/WPA,2,Central Boston,2.39,Beverley and Causeway Sts,Open Space District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,Revere Plaza,DCR,0,0,104328.7231,3270.723839,NA,INFO_Reallocation From Dept,464
463,3,Hooker-Sorrento Street Playground,City of Boston,A97,3,Allston-Brighton,1.00537799,120 Hooker Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,43737.35132,852.8441117,NA,PARK_Maintenance_Region 4,463
450,445,Marketplace Plaza I,BRA, ,1,Central Boston,0.29, ,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,12798.21851,741.6657053,NA,INFO_Reallocation From Dept,450
445,233,Waldren Road Garden,City of Boston, ,5,Roxbury,0.09203198, ,Residential District,Community Gardens,NULL, ,N, , , ,0,0,4172.318115,259.2238811,NA,PARK_Maintenance_Ground Maintenance,445
443,503,Truman Parkway,Commonwealth of Massachusetts,A97,2,Hyde Park,2.71476245, ,Industrial District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,118257.1545,15285.56891,NA,INFO_Reallocation From Dept,443
423,878,Healy Playground,City of Boston,A97,3,Roslindale,9.53912629,Opposite 155 Florence Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,418345.9429,2765.118624,NA,PARK_Maintenance_Region 4,423
418,186,Forest Hills Cemetery,Private, ,4,Roslindale,243.7323322, ,Open Space District,Cemeteries & Burying Grounds,NULL, ,N,X, ,,0,0,10617169.15,17024.88681,NA,INFO_Reallocation From Dept,418
414,398,Cedar Grove Cemetery,Private, ,4,Dorchester,54.21744999, ,Residential District,Cemeteries & Burying Grounds,NULL, ,N, , ,,0,0,2360139.463,11721.67406,NA,INFO_Reallocation From Dept,414
401,55,Paul Revere Mall,City of Boston,A97,1,Central Boston,0.78520749,Opposite 415 Hanover Str.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X,The Prado,,0,0,34204.24585,1027.832218,NA,PARK_Maintenance_Region 1,401
400,852,Raymond V. Mellone Park I,City of Boston,A97,3,Allston-Brighton,1.08,,Special District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Library Park I,BPRD,0,0,47084.02368,1100.20184,NA,INFO_Reallocation From Dept,400
396,111,Wentworth Field,Private, ,3,Fenway/Kenmore,2.98150699, ,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,129876.7534,1603.724621,NA,INFO_Reallocation From Dept,396
385,365,Children's Wharf Harborwalk,Private,A97/Ch91/WPA,1,South Boston,0.23,308 Congress Street,Industrial District,"Malls, Squares & Plazas",BPRD,Private,X,X, ,,0,0,10066.42773,765.708006,NA,INFO_Reallocation From Dept,385
383,296,Franklin Square,City of Boston,A97,1,South End,2.48280505,Opposite 7 St. George Str.,Residential District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,108152.9104,1319.669925,NA,PARK_Maintenance_Region 6,383
380,800,Kilmarnock-Brookline Square,Private,,1,Fenway/Kenmore,0.1,Brookline Avenue,Commercial/Office/Business District,"Malls, Squares & Plazas",,,N,X,,,0,0,4385.696533,280.1579523,NA,INFO_Reallocation From Dept,380
368,892,Bunker Hill CC Campus Grounds,Commonwealth of Massachusetts,,3,Charlestown,NA,,Institutional District,"Parks, Playgrounds & Athletic Fields",,COM,N,X,,COM,0,0,178364.3062,2506.918639,NA,INFO_Reallocation From Dept,368
366,729,Williams Tunnel Portal Park,MassDOT, ,1,South Boston,0.2,D St Extension above Ted Williams Tunnel Entrance Portal,Industrial District,"Malls, Squares & Plazas",NULL,Massport,N,X, ,,0,0,8659.414307,694.9090659,NA,INFO_Reallocation From Dept,366
350,382,Sullivan Square,City of Boston,,1,Charlestown,1.62052496, ,Residential District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,70591.323,1978.602207,NA,INFO_Reallocation From Dept,350
347,352,Dartmouth Street Mall,City of Boston, ,1,Back Bay/Beacon Hill,0.99856538,Western Sidewalk Dartmouth Street from Boylston to Beacon Sts,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL,BPWD,N,X, ,BPWD,0,0,43849.42798,2564.191329,NA,INFO_Reallocation From Dept,347
347,359,Chestnut Hill Reservoir,Commonwealth of Massachusetts,"A97,/NRHP/WPA",2,Allston-Brighton,115.8023318, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,5044439.254,20198.08007,NA,INFO_Reallocation From Dept,347
343,461,Frederick Douglass Green,Private, ,3,South End,0.92205578, ,Special District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,40165.46387,819.1102076,NA,INFO_Reallocation From Dept,343
339,475,Mass Art Campus,Commonwealth of Massachusetts, ,1,Fenway/Kenmore,0.31306769, ,Institutional District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,13637.47192,767.640067,NA,INFO_Reallocation From Dept,339
338,371,Jenney Plaza,Private, ,1,Central Boston,0.12596551, ,Special District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,5487.156494,354.0268996,NA,INFO_Reallocation From Dept,338
329,558,RFK Greenway I,MassDOT,CAT Mit,1,Central Boston,0.24, ,Special District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,6898.383545,681.4693834,NA,INFO_Reallocation From Dept,329
326,967,Roxbury Latin Schl Athletic Fields,Private, ,3,West Roxbury,38.5, ,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,1677064.281,10721.73412,NA,INFO_Reallocation From Dept,326
322,385,M Street Beach,Commonwealth of Massachusetts,A97,2,South Boston,4.40267291, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,191783.8433,4674.623154,NA,INFO_Reallocation From Dept,322
321,676,Arborway II,Commonwealth of Massachusetts,A97,2,Roslindale,1.15, ,Open Space & Residential Districts,"Parkways, Reservations & Beaches",DCR,DCR,X,X, ,,0,0,50205.65161,4523.509389,NA,INFO_Reallocation From Dept,321
320,908,Constitution Beach,Commonwealth of Massachusetts,A97,2,East Boston,25.39673452, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X,Orient Heights Beach,,0,0,1104065.613,7613.141375,NA,INFO_Reallocation From Dept,320
316,81,Barry Playground,City of Boston,A97/Ch91/WPA,3,Charlestown,3.32,41 Medford St,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,154686.3945,1668.701864,NA,PARK_Maintenance_Region 1,316
315,732,Rowe's Wharf Harborwalk,Private,Ch91/WPA,1,Central Boston,1.26,350 Atlantic Avenue,Special District,"Malls, Squares & Plazas",NULL,Private,N,X, ,,0,0,54857.7793,4462.161795,NA,INFO_Reallocation From Dept,315
313,63,Angell Memorial Square,City of Boston,A97,1,Central Boston,0.17663084,Congress Str.,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,7694.176514,390.1273121,NA,PARK_Maintenance_Ground Maintenance,313
312,886,Mission Main Playlots,BHA,,3,Mission Hill,0.82,,Residential District,"Parks, Playgrounds & Athletic Fields",,BHA,N,X,,BHA,0,0,35848.9397,2144.611504,NA,INFO_Reallocation From Dept,312
304,582,Franklin Park II,City of Boston,A97/Lease,3,Roxbury,16.44, ,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR,Zoo New England,X,X,"""Sausage Lot""",DCR,0,0,716128.2046,5477.287637,NA,INFO_Reallocation From Dept,304
301,754,Clifford Playground,City of Boston,A97,3,Roxbury,7.65642255,Opposite 65 Proctor St.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,329003.1316,2814.564128,NA,PARK_Maintenance_Region 5,301
300,455,Marine Industrial Park Entrance I,BRA, ,1,South Boston,1.24, ,Industrial District,"Malls, Squares & Plazas",NULL,BRA,N,X, ,,0,0,54281.7085,2243.216102,NA,INFO_Reallocation From Dept,300
296,392,Parkman Memorial,City of Boston,A97/GPOD,3,Jamaica Plain,6.70969084,Perkins Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,,0,0,292279.3289,4863.358647,NA,PARK_Maintenance_Region 3,296
293,542,8th Street Circle Garden,City of Boston, ,5,Charlestown,0.04690589, ,Special District,Community Gardens,NULL, ,N, , ,,0,0,2043.255615,163.2269658,NA,INFO_Reallocation From Dept,293
292,144,Iacono/Readville Playground,City of Boston,A97,3,Hyde Park,4.91402344,159 Readville Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,214058.6669,2079.802464,NA,PARK_Maintenance_Region 4,292
290,4,Smith Playground,City of Boston,A97,3,Allston-Brighton,14.79771231,235 Western Ave.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,654457.5037,3624.893621,NA,PARK_Maintenance_Region 4,290
290,1000,King's Chapel Burying Ground,City of Boston,A97/NRHP,4,Central Boston,0.43054804,Adjacent to 58 Tremont Str.,Commercial/Office/Business District,Cemeteries & Burying Grounds,BPRD, ,X,X, ,,0,0,18806.5127,550.2366961,NA,PARK_Cemetery Maintenance Request,290
287,12,Reilly Playground,Commonwealth of Massachusetts,A97,3,Allston-Brighton,6.96695306, ,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, ,,0,0,303485.8718,2550.505949,NA,INFO_Reallocation From Dept,287
286,390,Malibu Beach,Commonwealth of Massachusetts,A97,2,Dorchester,26.11747726, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,1137697.537,13699.29638,NA,INFO_Reallocation From Dept,286
285,349,UMass Boston Athletic Fields,Commonwealth of Massachusetts, ,3,Dorchester,18.4677814, ,Industrial District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,429393.0713,4541.066208,NA,INFO_Reallocation From Dept,285
284,520,South Boston Maritime Park,Massport,Ch 91,3,South Boston,0.88,"Btwn Congress St, D St Extension & Northern Ave",Industrial District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X, ,,0,0,38184.15405,956.3873829,NA,INFO_Reallocation From Dept,284
265,961,Medford Street Corridor I,Massport, ,7,Charlestown,6.85, , ,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,298192.9702,10369.02615,NA,INFO_Reallocation From Dept,265
264,488,Morton Street,Commonwealth of Massachusetts,A97,2,Roxbury,0.76090289, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,33145.53247,12654.86156,NA,INFO_Reallocation From Dept,264
261,975,Mt. Hope Cemetery,City of Boston,Ch114S7/A97,4,Roslindale,125.04,355 Walk Hill Str.,Residential District,Cemeteries & Burying Grounds,BPRD, ,X,X, ,,0,0,5446665.488,11508.67543,NA,PARK_Cemetery Maintenance Request,261
260,299,Carter Playground,City of Boston,A97,3,South End,4.91455022,627 Columbus Ave,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,214081.6125,2132.069668,NA,PARK_Maintenance_Region 6,260
260,795,BU Grounds South,Private, ,1,Fenway/Kenmore,0.83,630-640 Commonwealth Avenue,Residential District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,39500.09619,920.5522647,NA,INFO_Reallocation From Dept,260
260,839,The Park at Fan Pier,Private,Ch91,3,South Boston,1.26,68 Northern Avenue,Special District,"Parks, Playgrounds & Athletic Fields",Private,Private,N,X,Marina Park,,0,0,55008.55493,1272.575703,NA,INFO_Reallocation From Dept,260
253,736,Mary Soo Hoo Park,MassDOT, ,1,Central Boston,0.07,51 Albany Street,Open Space District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X, ,,0,0,3196.63501,274.7416066,NA,INFO_Reallocation From Dept,253
252,66,School Street Park,BRA, ,1,Central Boston,0.08,Opposite 308 Washington St,Special District,"Malls, Squares & Plazas",NULL,Private,N,X, ,,0,0,3257.80835,246.6347906,NA,PARK_Maintenance_Ground Maintenance,252
249,783,Central Square,City of Boston,A97,1,East Boston,0.90501454,Opposite 22 WM C Kelly Sq.,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X, ,BPRD,0,0,39423.13403,780.4375996,NA,PARK_Maintenance_Region 1,249
247,97,Putnam Square,City of Boston,A97,1,East Boston,0.26354042, ,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,11622.74292,474.5940856,NA,PARK_Maintenance_Region 1,247
246,825,Willow Pond Meadow,Commonwealth of Massachusetts,A97/WPA,3,Jamaica Plain,6.29554264, ,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR,DCR,X,X,Olmsted Park,,0,0,272323.1147,2217.401041,NA,PARK_Maintenance_Region 3,246
240,873,Dickerman School Yard,City of Boston,,3,Roxbury,0.55,Magnolia Street,Residential District,"Parks, Playgrounds & Athletic Fields",NULL,,N,X,,BPS,0,0,23795.71045,809.9000597,NA,INFO_Reallocation From Dept,240
239,716,Riverway V,City of Boston,A97/NRHP/GPOD,2,Fenway/Kenmore,0.23,"E side of Riverway parkway, Autumn St to Francis St",Institutional District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,Riverway parkway,,0,0,9902.980469,1073.332906,NA,INFO_Reallocation From Dept,239
238,829,Frieda Garcia Park,City of Boston,A97,3,Back Bay/Beacon Hill,0.27,,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",BPRD,Private,X,X,,BPRD,0,0,11665.38232,486.1168172,NA,PARK_Maintenance_Ground Maintenance,238
235,212,Flaherty Playground,City of Boston,A97,3,Roxbury,1.31078198, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Cornwall,,0,0,57098.67847,958.9864366,NA,PARK_Maintenance_Region 3,235
235,472,Belle Isle Marsh Reservation,Commonwealth of Massachusetts,A97/WPA/Ch91/AC,2,East Boston,142.1, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,6189650.014,15949.75296,NA,INFO_Reallocation From Dept,235
234,68,Ausonia Plaza,BRA, ,1,Central Boston,0.19623955, ,Residential District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,8548.346924,373.3214527,NA,INFO_Reallocation From Dept,234
234,984,Allen Park,City of Boston,A97,3,Dorchester,1.29, ,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,"Rev James K Allen Park, James F Donovan Park, Dorchester Square or Common",,0,0,56338.74072,957.8575418,NA,PARK_Maintenance_Region 2,234
230,297,South End South Burying Ground,City of Boston,Ch114S7/A97,4,South End,1.47716127,1620 Washington Str.,Residential District,Cemeteries & Burying Grounds,BPRD, ,X,X, ,,0,0,64033.50171,1177.641006,NA,PARK_Cemetery Maintenance Request,230
226,693,China Gate Plaza,City of Boston, ,1,Central Boston,0.14,Beach Street btwn Hudson St & Surface Artery,Open Space District,"Malls, Squares & Plazas",NULL, ,N,X,Beach Street Plaza,,0,0,6243.334229,345.6059429,NA,INFO_Reallocation From Dept,226
224,883,Tree House Plaza,Commonwealth of Massachusetts,,1,Mission Hill,0.18,600 Rear Huntington Avenue,Institutional District,"Malls, Squares & Plazas",COM,COM,N,X,,COM,0,0,7707.04248,432.8510409,NA,INFO_Reallocation From Dept,224
221,933,Salvation Army Field,Private, ,3,Dorchester,1.48, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL,Private,N, , ,NULL,0,0,64656.64868,1139.394123,NA,INFO_Reallocation From Dept,221
217,674,Richmond & North Streets Park II,MassDOT, ,3,Central Boston,0.28,201 North Street,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,12130.32764,1123.977823,NA,PARK_Maintenance_Region 1,217
214,446,Marketplace Plaza II,Private, ,1,Central Boston,0.1, ,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,4292.554443,266.0487773,NA,INFO_Reallocation From Dept,214
211,345,Harvard Medical School Quadrangle,Private, ,1,Fenway/Kenmore,1.71223131, ,Institutional District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,74586.12183,1227.896682,NA,INFO_Reallocation From Dept,211
204,519,Eastport Park,Massport, ,3,South Boston,1.15,2 Seaport Lane,Special District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X, ,,0,0,50106.09302,1156.192101,NA,INFO_Reallocation From Dept,204
199,821,Castle Square Parks,BRA, ,3,South End,1.19, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,51812.04688,2254.526815,NA,PARK_Maintenance_Ground Maintenance,199
196,998,Grove Street Cemetery,Private, ,4,West Roxbury,24.86576716, ,Open Space District,Cemeteries & Burying Grounds,NULL, ,N, , ,,0,0,1105547.022,7505.310213,NA,INFO_Reallocation From Dept,196
192,805,Joslin Park,City of Boston,A97,1,Fenway/Kenmore,0.30400885,Corner of Pilgrim and Joslin Rd.,Institutional District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,13412.53491,665.5180853,NA,PARK_Maintenance_Region 3,192
192,897,Navy Yard Grounds,United States of America,NPS,3,Charlestown,3.58, ,Industrial District,"Parks, Playgrounds & Athletic Fields",National Park Service, ,X,X,Boston National Historical Par,,0,0,155968.3225,5411.337784,NA,INFO_Reallocation From Dept,192
188,300,Titus Sparrow Park,City of Boston,A97,3,South End,1.7513453,75 West Rutland Sq.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,78354.84009,1450.631853,NA,PARK_Maintenance_Region 6,188
